sid,n,era5,cerra,headroom,name,country,elev,offset_km,era5_offset_km
26141099999,2873.0,0.8867225364827896,0.7440845665368849,0.14263796994590472,VALKE-MAARJA,Estonia,123.0,1.68630998748516,13.228824467437482
26144099999,2908.0,0.8013753279696445,0.6911218301692157,0.11025349780042881,JOGEVA,Estonia,71.0,2.997613854477101,4.848437524403928
26145099999,2912.0,1.3626154896193854,1.7941655884414298,-0.4315500988220444,TILRIKOJA,Estonia,34.0,3.160850673555139,13.495622016189927
26157099999,2887.0,1.7574506888272636,0.8782409739162861,0.8792097149109775,GDOV,Russia,40.0,1.5553864101591566,5.2136121793297265
26167099999,2899.0,1.0829943338472727,0.8520207529360905,0.23097358091118225,NIKOLAEVSKOE,Russia,91.0,3.120632026990834,8.091389209318173
26179099999,2849.0,1.1072238217527568,0.7325106723620616,0.3747131493906952,NOVGOROD,Russia,24.0,2.571308516541577,1.9128742967766375
26233099999,2908.0,0.8146893247502346,0.708237784518328,0.10645154023190662,VILJANDI,Estonia,86.0,0.5512064006235861,14.42306152053171
26242099999,2905.0,0.793091762336327,0.7808786272070025,0.012213135129324537,TARTU,Estonia,66.8,3.1276939030198743,7.32576058368855
26258099999,2917.0,1.0633989437584435,0.8000204944479561,0.2633784493104874,PSKOV,Russia,46.9,1.4845295889773742,7.305832213978955
26268099999,796.0,1.1273900517783475,0.8288631017597337,0.29852695001861385,DNO,Russia,71.0,2.5407504713221507,8.097520422926516
26275099999,2892.0,0.9452040365454848,0.750617104044511,0.1945869325009738,STARAYA RUSSA,Russia,25.0,2.346898391521979,4.422339583340243
26285099999,760.0,0.8849923896636248,0.6631131467287049,0.2218792429349199,KRESTCY,Russia,63.0,2.098406240257516,2.732132521608812
26291099999,1968.0,0.9561922074966749,0.6425363650039813,0.3136558424926936,BOROVICI,Russia,89.0,2.120957070842311,11.037901458884885
26298099999,1375.0,0.8216366173780348,0.5801201967752619,0.2415164206027729,BOLOGOE,Russia,188.0,0.9733270654414312,11.376167610151512
26381099999,753.0,1.103849275329958,0.8680992985866136,0.2357499767433444,DEMJANSK,Russia,62.0,3.672530051839432,11.400512734066135
26389099999,1332.0,0.7164848331531816,0.5305179125430033,0.18596692061017828,OSTASKOV,Russia,218.0,2.091638920097018,14.921333066449398
26393099999,1339.0,0.8391752018494317,0.6788663853255168,0.16030881652391493,VYSNIJ VOLOCEK,Russia,169.0,1.671734165412631,6.912555835708093
27008099999,1412.0,1.000365995775752,0.691972054698936,0.30839394107681606,BABAEVO,Russia,137.0,2.67222737560262,12.658994608844718
27106099999,1089.0,1.0222089059516841,0.8139991340692014,0.20820977188248269,USTYUZHNA,Russia,125.0,1.363128382182482,11.920929155397923
27108099999,836.0,0.8975432362382818,0.6354349685845503,0.2621082676537315,OHONY,Russia,145.0,1.8200048482107476,10.201858008769397
27208099999,1404.0,0.7789742696937006,0.5438655641755287,0.23510870551817198,MAKSATIKHA,Russia,142.0,2.306276315731933,8.978304663996648
